临床问题,推荐内容,证据质量,推荐强度,实践要点
未诊断高血压的T2DM成人如何进行高血压筛查?,所有未诊断高血压的T2DM患者在就诊时均应进行血压测量,中等,强推荐,"血压测量作为一种常规无创低成本的检查方法,应在就诊前或就诊时常规开展,有利于早识别和早治疗高血压,并在一定程度上减少未来的心血管事件及终末期肾病风险。总体而言,诊室血压测量的风险很小,但应注意有“白大衣高血压”的可能性,因此对于诊室血压测量值异常升高的患者可考虑休息后复测。若复测后高血压诊断仍存疑,可考虑借助动态血压监测明确诊断。目前,适用于家庭血压监测的可穿戴设备测量准确性缺少可靠和确切的数据支持,不适用于高血压诊断,但经校准可作为血压监测的一种补充手段。鉴于T2DM患者发生高血压的风险高于非糖尿病人群,且有较高的心肾疾病风险,有必要采取更频繁的血压监测策略。对于没有诊断高血压的T2DM患者,应每3~6个月至少进行1次诊室血压监测。当合并心血管疾病或合并的危险因素较多时,可在此基础上进一步增加血压监测频率,必要时开展家庭血压监测"
"当诊室血压测量结果不足以确立或排除高血压诊断时,可考虑选用动态血压监测",中等,有条件推荐,,
建议每3~6个月至少进行1次血压监测,中等,有条件推荐,,
"当患者合并心血管危险因素较多或合并心血管疾病时,可适当增加血压监测频率",中等,有条件推荐,,
"成人T2DM合并高血压患者,血压监测优选何种方式?","对于成人T2DM合并高血压的患者,建议开展家庭血压监测",中等,有条件推荐,"家庭血压监测应注意选用通过国际标准方案认证的上臂式电子血压计,注意交代患者记录监测结果,就诊时可与诊室血压监测结果进行对比。考虑到使用的复杂程度,通常不建议选择医用水银柱血压计进行家庭血压监测。对于血压波动较大,且诊室血压与家庭血压测量值差距较大的患者,可考虑采用24h动态血压监测"
成人T2DM合并高血压患者血压监测频率如何选择?,"合并高血压的T2DM患者每月至少进行1次血压监测,首选家庭血压监测",低,强推荐,"增加血压监测频率有助于血压控制达标,对于血压控制不佳的患者至少每月进行1次血压监测,推荐使用家庭血压监测。对于近期调整过降压治疗方案的患者,可适当增加血压监测频率。复诊周期可根据实际情况灵活增减,间隔不长于半年"
成人T2DM合并高血压患者血压控制目标如何设定?,"成人T2DM合并高血压患者应采用个体化血压控制目标,大多数人适合<120/80 mmHg的血压控制目标",高,有条件推荐,"有高质量证据表明将收缩压降至120mmHg能有效减少心血管事件及死亡风险,但却使跌倒等低血压相关事件的数量倍增。对于大多数糖尿病合并高血压的患者而言,跌倒等低血压相关事件的基线风险较低。如进一步降低血压不会显著增加治疗负担,则可考虑采用<120/80mmHg的血压强化控制标准。但对于有一定跌倒风险,特别是基线脉压差较大的患者(如≥65岁),可适当放宽血压控制目标至130/80mmHg或140/90mmHg。对大多数患者而言,在确保跌倒风险可控、舒张压不低于50mmHg、常规降压药物可实现的前提下可采用血压强化控制目标。有条件的患者可参考既往无高血压和其他心血管疾病时的血压水平制订个体化的血压目标"
"对于心血管疾病风险较低,低血压、晕厥风险较高的患者,收缩压控制目标可放宽至130mmHg或140mmHg",高,有条件推荐,,
T2DM合并高血压患者如何在T2DM标准治疗的基础上通过生活方式干预降低心血管疾病风险?,所有T2DM合并高血压患者均应通过健康教育限制饮食中的钠摄入,中等,强推荐,"合并高血压的T2DM患者在实施糖尿病生活方式管理的基础上,应限制钠盐摄入(通常<6g/d)和进行高血压相关的健康教育,有助于控制血压和降低死亡和心血管事件、终末期肾病风险。对于生活在热带地区或体力活动较大的患者钠摄入可适当放宽。对肾功能正常的患者,钾代盐有助于控制钠的摄入,但应尊重患者及家属的口味偏好"
可考虑使用钾代盐,中等,有条件推荐,,
成人T2DM合并高血压患者优先选择哪类高血压药物?,"成人T2DM合并高血压患者进行降压治疗首选ACEI或ARB类药物,其次为CCB类",高,强推荐,"在合并高血压的T2DM患者中,首选ARB或ACEI类药物进行降压,可降低死亡风险和肾脏终点事件风险,其次为CCB类药物。在选用降压药物时需要综合考虑患者个体情况和药物不良反应"
"成人T2DM合并高血压患者应用SGLT2i或GLP-1RA时,是否需调整已有降压药物剂量或方案?","合并高血压的成人T2DM患者应用SGLT2i或GLP-1RA时,无须调整原有降压药物剂量或方案",中等,强推荐,"成人T2DM合并高血压患者应用SGLT2i时,通常无须对原有降压药物作剂量调整。但对于跌倒风险较高的人群,可考虑减少降压药的剂量。成人T2DM合并高血压患者应用GLP-1RA,无须对原有降压药物作剂量调整"
