观察指标,诊室血压监测[15],家庭血压监测[15],动态血压监测[15],穿戴式血压监测[17]
敏感度(95%CI),"74%(65%,82%)","71%(61%,80%)","74%(66%,80%)",与动态血压监测测得的收缩压和舒张压数据差异在10 mmHg以内的比值分别为58.7%和75.0%
特异度(95%CI),"79%(69%,87%)","82%(77%,87%)","83%(76%,89%)",
诊断比值比(95%CI),"11.11%(6.82%,14.20%)","11.60%(8.98%,15.13%)","13.73%(8.55%,22.03%)",
费用,免费,购买设备(200元左右),检查费用(约200元/次),购买设备(2000元左右)
地点,医疗机构使用,家庭使用,医疗机构就诊使用,时间地点不限
其他,目前最常用,"不会增加心理压力,可能提高生活质量","佩戴带来不适,影响睡眠和生活质量",准确性未知
漏诊率,26.0%,29.0%,26.0%,无数据
阳性预测值,9.7%,10.8%,9.7%,无数据
误诊率,21.0%,18.0%,17.0%,无数据
阴性预测值,7.8%,6.7%,6.3%,无数据
