姓名:,性别:,年龄:,日期:,年,月,日
阶段,路径适宜人群筛查,处方评级与制定,,,,
主要工作,□医学检查,□运动风险评估,,,,
□用药史问询,□体适能评估,,,,,
□排除运动禁忌,□确定运动处方等级/预期运动强度,,,,,
,□制定规范化运动处方,,,,,
重点医嘱,□血液检查,□运动风险评估,,,,
□体格测量,□有氧耐力评估,,,,,
□必要时眼底照相,□运动处方,,,,,
备注,□患者建档,,,,,
病情变异记录,"□无□有,原因:","□无□有,原因:",,,,
1.,1.,,,,,
2.,2.,,,,,
阶段,运动监督与处方调整,自我管理与复诊,,,,
主要工作,□处方讲解与动作教学,"□复诊(线上2~4周/次,线下4~6周/次)",,,,
□运动损伤及处理,□效果评估,,,,,
□实施医疗监督,,,,,,
□运动处方调整,,,,,,
"□告知居家运动注意事项及复诊日期,推荐自行运动训练时长",,,,,,
重点医嘱,□医疗监督及记录,□注意事项,,,,
□运动处方调整,,,,,,
备注,□告知患者注意事项,□提醒患者复诊,,,,
□培训患者自我监督、训练调整,,,,,,
病情变异记录,"□无□有,原因:","□无□有,原因:",,,,
1.,1.,,,,,
2.,2.,,,,,
医师签名,,,,,,
